listing_nickname,building,Bldg_Name,Address,Latitude,Longitude,launch_date,end_date
MS510,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS511,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS512,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS513,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS514,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS515,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS516,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS517,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS518,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS519,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS520,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS609,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS610,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS611,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS613,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS614,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS615,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS616,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS617,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS618,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS812,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS813,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS814,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS815,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS816,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS817,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS818,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS913,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS914,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS915,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS916,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
CR302,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR304,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR305,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR307,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR308,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR310,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR312,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR314,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR315,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR316,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR317,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR322,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR323,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR324,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR401,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR402,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR404,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR409,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR410,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR413,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR414,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR416,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR417,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR422,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR423,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR424,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR503,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR505,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR511,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR513,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR514,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR515,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR516,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR517,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR519,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,NA,NA
CR110,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,NA,NA
CR111,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,NA,NA
CR113,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,NA,NA
CR114,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,NA,NA
